geography_entity_id,geography_type,geography_name,mean_abs_target_pre_2020,mean_abs_target_recent_2023_plus,mean_abs_target_shock_2020_2022,mean_target_pre_2020,mean_target_recent_2023_plus,mean_target_shock_2020_2022,row_count_pre_2020,row_count_recent_2023_plus,row_count_shock_2020_2022,std_target_pre_2020,std_target_recent_2023_plus,std_target_shock_2020_2022,mean_shift_shock_vs_pre,mean_shift_recent_vs_pre,mean_shift_recent_vs_shock,max_abs_mean_shift
geo:zori:msa:395068,zori_msa,"Santa Rosa, CA (CA)",0.00643994313589065,0.003359049373706725,0.006341847773373411,0.0044224471019891284,0.0018443610061531902,0.004355022810866939,59.0,37.0,36.0,0.006859078127244535,0.0038812871439280047,0.007236725390099901,-6.742429112218968e-05,-0.0025780860958359384,-0.0025106618047137487,0.0025780860958359384
geo:zori:msa:395078,zori_msa,"Seattle, WA (WA)",0.006668597809422212,0.005103458888587,0.00992574216126172,0.004669411169559008,0.002143771345069516,0.00418901526907752,59.0,37.0,36.0,0.006421850512670959,0.005363367664774234,0.011506062515702502,-0.00048039590048148863,-0.0025256398244894924,-0.0020452439240080038,0.0025256398244894924
geo:zori:msa:395050,zori_msa,"Salinas, CA (CA)",0.007435827207985599,0.004947457400197652,0.0060884878680928615,0.005144247634214052,0.0032447426014937985,0.0056608761268086725,59.0,37.0,36.0,0.007670971600435459,0.0057299788160092655,0.005707184481240558,0.0005166284925946204,-0.0018995050327202537,-0.002416133525314874,0.002416133525314874
geo:zori:msa:394974,zori_msa,"Philadelphia, PA (PA)",0.0033675068796387374,0.003162717245704916,0.0055609260799836585,0.002714030777435802,0.0029377818003418947,0.005081211645066109,59.0,37.0,36.0,0.0035288056623197527,0.002332499713400674,0.004608052897196105,0.0023671808676303066,0.00022375102290609272,-0.002143429844724214,0.0023671808676303066
geo:zori:msa:394463,zori_msa,"Chicago, IL (IL)",0.005278416961791886,0.005399871693162159,0.006850691420090978,0.00217906447806911,0.004456331209108213,0.004216769788682139,59.0,37.0,36.0,0.005491071008713274,0.004711330838796064,0.0075353489632195006,0.002037705310613029,0.0022772667310391034,0.00023956142042607428,0.0022772667310391034
geo:zori:msa:394531,zori_msa,"Des Moines, IA (IA)",0.005074789752597367,0.004471706616456403,0.005254997378621722,0.0016074414794845207,0.00188408765712857,0.0038820850311751787,59.0,37.0,36.0,0.006240099654167556,0.004896517987444662,0.005087997652832853,0.0022746435516906582,0.0002766461776440494,-0.0019979973740466084,0.0022746435516906582
geo:zori:msa:394332,zori_msa,"Ann Arbor, MI (MI)",0.005436665408017399,0.005385618544987419,0.007480234506142273,0.003264255994495676,0.003048819492181197,0.005306885640008461,59.0,37.0,36.0,0.006242667419281811,0.0054740154684059005,0.007711520843239755,0.002042629645512785,-0.00021543650231447891,-0.002258066147827264,0.002258066147827264
geo:zori:msa:753924,zori_msa,"Urban Honolulu, HI (HI)",0.00266644437366554,0.003978089339892528,0.005336359566237045,0.0018574688203704048,0.003563880608073186,0.0039269642306915785,59.0,37.0,36.0,0.0030108427017636065,0.0031915236267560723,0.005635981040260932,0.002069495410321174,0.0017064117877027814,-0.00036308362261839233,0.002069495410321174
geo:zori:msa:394982,zori_msa,"Pittsburgh, PA (PA)",0.0044297268643966594,0.0037823972420454066,0.0050337220025208585,0.0024527641478724925,0.0033782088084507527,0.004365963515363958,59.0,37.0,36.0,0.004874153874802712,0.003043436352508026,0.004539521651968706,0.0019131993674914652,0.0009254446605782602,-0.000987754706913205,0.0019131993674914652
geo:zori:msa:394816,zori_msa,"Madison, WI (WI)",0.0037368504652349984,0.005003580446048031,0.004717372605624655,0.0026187927135508764,0.004289959220071607,0.004400550009671522,59.0,37.0,36.0,0.0038551786315845836,0.004941255409346205,0.004285016674142337,0.0017817572961206455,0.0016711665065207307,-0.00011059078959991479,0.0017817572961206455
